task,pnum,iteration,score
active_to_passive,2,1,0.67
active_to_passive,2,2,0.71
active_to_passive,2,3,0.7
active_to_passive,2,4,0.68
active_to_passive,2,5,0.71
active_to_passive,1,1,0.72
active_to_passive,1,2,0.69
active_to_passive,1,3,0.71
active_to_passive,1,4,0.7
active_to_passive,1,5,0.71
active_to_passive,0,1,0.98
active_to_passive,0,2,0.98
active_to_passive,0,3,0.98
active_to_passive,0,4,0.98
active_to_passive,0,5,0.98
rhymes,0,1,0.91
rhymes,0,2,0.93
rhymes,0,3,0.92
rhymes,0,4,0.92
rhymes,0,5,0.92
rhymes,2,1,0.93
rhymes,2,2,0.93
rhymes,2,3,0.96
rhymes,2,4,0.95
rhymes,2,5,0.94
rhymes,1,1,0.9
rhymes,1,2,0.91
rhymes,1,3,0.85
rhymes,1,4,0.87
rhymes,1,5,0.93
sentence_similarity,0,1,0.37
sentence_similarity,0,2,0.41
sentence_similarity,0,3,0.35
sentence_similarity,0,4,0.4
sentence_similarity,0,5,0.41
sentence_similarity,1,1,0.4
sentence_similarity,1,2,0.38
sentence_similarity,1,3,0.38
sentence_similarity,1,4,0.39
sentence_similarity,1,5,0.39
sentence_similarity,2,1,0.36
sentence_similarity,2,2,0.37
sentence_similarity,2,3,0.34
sentence_similarity,2,4,0.35
sentence_similarity,2,5,0.33
informal_to_formal,0,1,0.3832304514657456
informal_to_formal,0,2,0.391184358201902
informal_to_formal,0,3,0.4543527330369435
informal_to_formal,0,4,0.3946013028365969
informal_to_formal,0,5,0.3928383744070018
informal_to_formal,1,1,0.2014633722412197
informal_to_formal,1,2,0.2020306817747478
informal_to_formal,1,3,0.215224468055079
informal_to_formal,1,4,0.2031476483230869
informal_to_formal,1,5,0.1928426374298407
informal_to_formal,2,1,0.1375156953932082
informal_to_formal,2,2,0.1178746084833041
informal_to_formal,2,3,0.1393414240080907
informal_to_formal,2,4,0.1332082335270741
informal_to_formal,2,5,0.1290275031705606
sentiment,1,1,0.6
sentiment,1,2,0.65
sentiment,1,3,0.64
sentiment,1,4,0.65
sentiment,1,5,0.63
sentiment,2,1,0.65
sentiment,2,2,0.67
sentiment,2,3,0.7
sentiment,2,4,0.68
sentiment,2,5,0.65
sentiment,0,1,0.53
sentiment,0,2,0.56
sentiment,0,3,0.57
sentiment,0,4,0.49
sentiment,0,5,0.57
sum,3,1,0.38
sum,3,2,0.29
sum,3,3,0.43
sum,3,4,0.4
sum,3,5,0.39
sum,0,1,0.84
sum,0,2,0.81
sum,0,3,0.81
sum,0,4,0.83
sum,0,5,0.83
sum,2,1,0.8
sum,2,2,0.77
sum,2,3,0.76
sum,2,4,0.78
sum,2,5,0.78
sum,1,1,0.02
sum,1,2,0.0
sum,1,3,0.01
sum,1,4,0.03
sum,1,5,0.01
word_in_context,2,1,0.52
word_in_context,2,2,0.51
word_in_context,2,3,0.59
word_in_context,2,4,0.52
word_in_context,2,5,0.51
word_in_context,1,1,0.56
word_in_context,1,2,0.5
word_in_context,1,3,0.53
word_in_context,1,4,0.49
word_in_context,1,5,0.49
word_in_context,0,1,0.47
word_in_context,0,2,0.51
word_in_context,0,3,0.54
word_in_context,0,4,0.6
word_in_context,0,5,0.47
negation,2,1,0.53
negation,2,2,0.53
negation,2,3,0.54
negation,2,4,0.52
negation,2,5,0.53
negation,1,1,0.47
negation,1,2,0.46
negation,1,3,0.45
negation,1,4,0.46
negation,1,5,0.46
negation,0,1,0.61
negation,0,2,0.62
negation,0,3,0.62
negation,0,4,0.61
negation,0,5,0.61
cause_and_effect,0,1,0.92
cause_and_effect,0,2,1.0
cause_and_effect,0,3,0.96
cause_and_effect,0,4,0.96
cause_and_effect,0,5,0.92
cause_and_effect,1,1,0.92
cause_and_effect,1,2,1.0
cause_and_effect,1,3,1.0
cause_and_effect,1,4,1.0
cause_and_effect,1,5,0.96
cause_and_effect,2,1,0.92
cause_and_effect,2,2,0.96
cause_and_effect,2,3,0.96
cause_and_effect,2,4,0.96
cause_and_effect,2,5,0.96
